gagename,first_noflow_date,last_noflow_date,total_noflow_days
Granada (CO),NA,NA,NA
Pawnee at Rozel,2001-10-15,2002-06-11,240
Pawnee at Rozel,2002-06-25,2002-07-28,34
Pawnee at Rozel,2002-08-06,2002-08-14,9
Pawnee at Rozel,2002-09-09,2002-10-07,29
Pawnee at Rozel,2002-10-23,2003-04-15,175
Pawnee at Rozel,2003-04-17,2003-06-01,46
Pawnee at Rozel,2003-06-04,2003-07-02,29
Pawnee at Rozel,2003-07-06,2003-07-06,1
Pawnee at Rozel,2003-07-12,2003-07-15,4
Pawnee at Rozel,2003-07-19,2003-07-28,10
Pawnee at Rozel,2003-08-01,2003-08-01,1
Pawnee at Rozel,2003-08-04,2003-08-27,24
Pawnee at Rozel,2003-10-04,2004-03-03,152
Pawnee at Rozel,2004-03-05,2004-04-05,32
Pawnee at Rozel,2004-04-08,2004-05-16,39
Pawnee at Rozel,2004-06-05,2004-06-16,12
Pawnee at Rozel,2004-08-17,2004-08-27,11
Pawnee at Rozel,2004-08-30,2004-09-04,6
Pawnee at Rozel,2004-09-11,2005-02-12,155
Pawnee at Rozel,2005-02-14,2005-05-02,78
Pawnee at Rozel,2005-05-06,2005-05-23,18
Pawnee at Rozel,2005-05-25,2005-05-30,6
Pawnee at Rozel,2005-06-02,2005-06-10,9
Pawnee at Rozel,2005-06-23,2005-07-05,13
Pawnee at Rozel,2005-07-13,2005-08-10,29
Pawnee at Rozel,2005-08-14,2005-08-22,9
Pawnee at Rozel,2005-09-04,2006-06-28,298
Pawnee at Rozel,2006-06-30,2006-07-10,11
Pawnee at Rozel,2006-07-19,2006-08-17,30
Pawnee at Rozel,2006-09-04,2006-12-29,117
Pawnee at Rozel,2007-01-28,2007-02-17,21
Pawnee at Rozel,2007-03-20,2007-03-26,7
Pawnee at Rozel,2007-05-17,2007-05-19,3
Pawnee at Rozel,2007-07-01,2007-07-04,4
Pawnee at Rozel,2007-07-07,2007-07-11,5
Pawnee at Rozel,2007-08-17,2007-08-25,9
Pawnee at Rozel,2007-09-12,2008-04-16,218
Pawnee at Rozel,2008-04-22,2008-05-04,13
Pawnee at Rozel,2008-06-12,2008-07-28,47
Pawnee at Rozel,2008-08-01,2008-09-06,37
Pawnee at Rozel,2008-09-10,2008-10-13,34
Pawnee at Rozel,2008-11-14,2009-04-18,156
Pawnee at Rozel,2009-05-03,2009-05-07,5
Pawnee at Rozel,2009-05-20,2009-05-28,9
Pawnee at Rozel,2009-06-02,2009-06-11,10
Pawnee at Rozel,2009-07-07,2009-08-16,41
Pawnee at Rozel,2009-08-30,2009-09-09,11
