Time [days],well,recharge,river
474.0,-0.0005458125041457734,0.002037176671338514,
475.0,-0.0005500329433152859,0.0020335283184826913,
476.0,-0.000554262790269204,0.0020298864994143795,
477.0,-0.0005585019141074524,0.00202625120243205,
478.0,-0.0005627501839481838,0.0020226224158548245,
479.0,-0.0005670074689392568,0.0020190001280235848,
480.0,-0.0005712736382696426,0.002015384327300085,
481.0,-0.0005755485611808747,0.002011775002066285,
482.0,-0.0005798321069776305,0.0020081721407259057,
483.0,-0.0005841241450393053,0.0020045757317019852,
484.0,-0.0005884245448303307,0.0020009857634399886,
485.0,-0.0005927331759110616,0.0019974022244040324,
486.0,-0.0005970499079483368,0.001993825103081992,
487.0,-0.0006013746107259507,0.0019902543879788404,
488.0,-0.0006057071541546791,0.001986690067622199,
489.0,-0.0006100474082825075,0.001983132130560117,
490.0,-0.0006143952433049979,0.001979580565360628,
491.0,-0.0006187505295743023,0.001976035360612194,
492.0,-0.0006231131376100013,0.0019724965049245924,
493.0,-0.0006274829381076805,0.0019689639869271414,
494.0,-0.000631859801949082,0.0019654377952689206,
495.0,-0.0006362436002111116,0.0019619179186214364,
496.0,-0.0006406342041751917,0.0019584043456746247,
497.0,-0.0006450314853358313,0.001954897065139072,
498.0,-0.0006494353154109164,0.0019513960657460139,
499.0,-0.0006538455663484474,0.0019479013362473374,
500.0,-0.0006582621103370656,0.0019444128654124704,
501.0,-0.0006626848198138524,0.0019409306420348216,
502.0,-0.0006671135674723855,0.0019374546549251193,
503.0,-0.0006715482262719397,0.0019339848929145198,
504.0,-0.0006759886694445161,0.0019305213448554959,
505.0,-0.0006804347705042929,0.0019270639996185057,
506.0,-0.0006848864032538288,0.001923612846096212,
507.0,-0.0006893434417935551,0.0019201678731985972,
508.0,-0.0006938057605281878,0.0019167290698580697,
509.0,-0.0006982732341748038,0.0019132964250245799,
510.0,-0.0007027457377705715,0.0019098699276702824,
511.0,-0.0007072231466788842,0.0019064495667842074,
512.0,-0.0007117053365982007,0.0019030353313778114,
513.0,-0.0007161921835674434,0.0018996272104798706,
514.0,-0.0007206835639740755,0.0018962251931420315,
515.0,-0.000725179354560776,0.001892829268431262,
516.0,-0.0007296794324312267,0.0018894394254374003,
517.0,-0.000734183675058106,0.0018860556532689365,
